Collector,Higher taxon,Taxon,miss mC,miss mT,miss  man-D,miss ped-D,miss_FL,miss_HL,mc,mpp,mmp,mdp,mt,ppp,pmp,pdp,h,f,Museum - Coll. #,locality,notes,Sex/age,pf-H,pf-w,m1-L,m1-W,m2-L,m2-W,hm1,hm2,hm3,hm4,hm5,m2-5 av,hpp1,hpp1-w,hpp2,hpp2-w,hpp3,hpp3-w,hpp4,hpp4-w,hpp5,hpp5-w,hpp2-5 av,hmp2,hmp3,hmp4,hmp5,hmp2-5 av,hdp1,hdp2,hdp3,hdp4,hdp5,hdp2-5 av,HU(AP),HU(ML),notes,fm1,fm2,fm3,fm4,fm5,fm2-5 av,fpp1,fpp1-w,fpp2,fpp2-w,fpp3,fpp3-w,fpp4,fpp4-w,fpp5,fpp5-w,fpp2-5 av,fmp2,fmp3,fmp4,fmp5,fmp2-5 av,fdp1,fdp2,fdp3,fdp4,fdp5,fdp2-5 av,FE(AP),FE(ML),GM,ln GM,BM,ln BM,Ast-w,CW,CD,,radius L,Ulna L,PI,BZ,md3 length,md4 length,md3/md4,mc3/mc4,mc2/mc3,pd3 length,pd4 length,pd3/pd4,mt3/mt4,pp2/pp4,md3 prehens,md4 prehens,pd3 prehens,pd4 prehens,mc/mt,md/pd,mt3/pp3,mt1/mt3,Mpp3/ip3,Ppp3/ip3
,,Homo sapiens,,,,,,,,,,,,,,,,,EA 622.36,,,,,,,,,,,67.4,68,61.08,,,,,,,44.16,,42.81,,,,,,27.2,24.52,,,,,20.22,18.59,,,21,18,,61.7,,75,72.1,,,,,29.3,,25.9,,24.8,,,,,,13.82,10.63,,,,,10.2,9.25,,,28,26,,,,,,30,20,,,,,,159.58,147,1.08557823129252,1.11329404060249,0.991176470588235,124.92,116.78,1.06970371638979,1.04022191400832,1.18145161290323,1.04941176470588,1.10232481990832,0.5296,0.491400832177531,0.906666666666667,1.27745757284662,2.8957528957529,0.822666666666667,1.62352941176471,1.87409551374819
"Yapuncich, G",Hominoidea,Pan troglodytes troglodytes,,,,,,,,,,,,,,,,,AMNH 54330,,from Sergio,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,65.7,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Pan troglodytes troglodytes,,,,,,,,,,,,,,,,,AMNH 167346,,from Sergio,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9,,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,65.6,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Pan troglodytes troglodytes,,,,,,,,,,,,,,,,,AMNH 90191,,from Sergio,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,62.7,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Pan troglodytes troglodytes,,,,,,,,,,,,,,,,,AMNH 167343,,from Sergio,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,68.6,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Pan troglodytes troglodytes,,,,,,,,,,,,,,,,,AMNH 201469,,from Sergio,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4,,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,67.1,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Boyer, D",Hominoidea,Pan troglodytes,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH M-202870,,,,21.4,8.9,,,,,42.90,88.15,88.12,81.20,75.70,,27.10,6.12,51.20,10.70,61.90,12.45,58.40,11.31,43.90,7.72,,33.50,45.00,42.30,28.70,,18.10,16.30,19.50,19.60,14.80,,23.1,22.2,,53.9,72.3,67.3,63.3,58.9,,31,8.9,39.7,7.7,43.6,6.9,40.1,6.6,28.9,5,,19.73,25.4,24.99,18.3,,21,10.1,13.1,12.8,8.4,,20.4,21.43,,,,,20.2,21.5,15.1,,,,,,214.52,201.5,1.06461538461538,1.08522167487685,1.00034044484793,149.4,141.19,1.05814859409307,1.06319115323855,0.99002493765586,1.21311847480708,1.24014778325123,1.02526002971768,1.02827804107425,1.30936106983655,1.43587684069612,1.54357798165138,0.800891530460624,1.37555555555556,1.71653543307087
,Hominoidea,Gorilla gorilla gorilla,,,,,,,,,,,,,,,,,AMNH 202932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,46,,,,,,30,20,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
"Yapuncich, G",Hominoidea,Gorilla gorilla gorilla,,,,,,,,,,,,,,,,,AMNH 81651,,from Sergio,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2,,86.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,86.1,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Gorilla gorilla gorilla,,,,,,,,,,,,,,,,,AMNH 81652,,from Sergio,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,67.2,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
