Collector,Higher taxon,Taxon,miss mC,miss mT,miss  man-D,miss ped-D,miss_FL,miss_HL,mc,mpp,mmp,mdp,mt,ppp,pmp,pdp,h,f,Museum - Coll. #,locality,notes,Sex/age,pf-H,pf-w,m1-L,m1-W,m2-L,m2-W,hm1,hm2,hm3,hm4,hm5,m2-5 av,hpp1,hpp1-w,hpp2,hpp2-w,hpp3,hpp3-w,hpp4,hpp4-w,hpp5,hpp5-w,hpp2-5 av,hmp2,hmp3,hmp4,hmp5,hmp2-5 av,hdp1,hdp2,hdp3,hdp4,hdp5,hdp2-5 av,HU(AP),HU(ML),notes,fm1,fm2,fm3,fm4,fm5,fm2-5 av,fpp1,fpp1-w,fpp2,fpp2-w,fpp3,fpp3-w,fpp4,fpp4-w,fpp5,fpp5-w,fpp2-5 av,fmp2,fmp3,fmp4,fmp5,fmp2-5 av,fdp1,fdp2,fdp3,fdp4,fdp5,fdp2-5 av,FE(AP),FE(ML),GM,ln GM,BM,ln BM,Ast-w,CW,CD,,radius L,Ulna L,PI,BZ
"Boyer, D",Cercopithecoidea,Allenopithecus,,,yes,yes,,,y,y,y,n,y,n,n,n,y,y,AMNH M-86856,,,,na,na,,,,,20.80,30.97,31.00,29.10,26.91,,11.41,2.95,16.95,3.34,21.76,4.19,20.40,3.89,16.80,2.98,,11.66,14.93,14.23,10.93,,na,na,na,na,na,,9.2,10.7,,30.8,43.7,46.24,45.98,43.62,,13.69,3.8,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,13.2,10.2,,,,,,,,,,,,
"Boyer, D",Cercopithecoidea,Allenopithecus,,,yes,yes,,,y,y,n,n,y,y,n,n,y,y,USNM 300808,,,,7.37,5.67,,,,,18.01,27.00,26.91,25.33,22.23,,na,na,16.71,3.35,19.42,3.99,18.65,3.68,14.83,2.57,,na,na,na,na,,na,na,na,na,na,,6.3,6.7,,25.7,37.5,39.9,39.2,36.7,,11.48,3.44,17.9,2.53,21.52,3.45,20.59,3.26,16.07,2.33,,na,na,na,na,,na,na,na,na,na,,11.3,8.5,,,,,,,,,,,,
"Boyer, D",Cercopithecoidea,Allenopithecus,,yes,yes,yes,,,y,y,n,n,n,y,n,n,y,y,USNM 395131,,,,7.48,4.88,,,,,16.36,25.89,24.64,23.22,20.50,,9.67,2.45,15.30,3.06,17.77,3.29,16.70,3.02,13.48,2.46,,na,na,na,na,,na,na,na,na,na,,5.6,8.1,,25.05,35.1,na,37.2,34.8,,11.01,3.29,16.53,2.63,19.79,3.16,18.66,3,15,2.3,,na,na,na,na,,na,na,na,na,na,,10.2,7.4,,,,,,7.04,4.98,,,,,
"Yapuncich, G",Cercopithecoidea,Cercocebus torquatus atys,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 157995,,,,10.76,6.67,6.91,5.91,7.73,7.02,21.50,38.65,37.96,35.99,35.61,,12.53,3.44,20.94,3.84,24.42,4.36,24.18,3.92,20.19,3.25,,11.94,16.66,17.2,13.03,,7.53,7.52,9.29,10.42,8.37,,11.05,10.59,,35.64,47.84,50.6,50.78,49.22,,15.07,4.67,22.61,2.88,26.78,4.05,25.63,3.71,20.03,2.88,,11.67,17.39,16.37,12.27,,9.12,7.61,10.45,9.57,8.41,,11.48,11.83,,,,,10.7,11.13,6.14,,,,,
"Yapuncich, G",Cercopithecoidea,Cercocebus torquatus atys,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 48828,,,M,12.11,8.15,7.35,5.43,8.51,7.51,23.28,40.59,40.87,39.11,35.69,,15.45,3.41,24.02,4.22,28.08,4.73,26.19,4.48,22.71,3.65,,15.35,18.27,17.74,13.89,,8.46,8.95,9.84,10.52,9.72,,13.69,11.72,,40.57,52.46,54.86,54.22,51.95,,17.31,5.12,24.91,3.52,29.25,4.3,27.59,4.12,21.85,3.31,,14.17,18.17,17.65,12.88,,10.75,8.73,10.81,10.75,9.03,,11.84,12.99,Ray attributions uncertain for pedal DPs,,,,11.39,11.25,6.39,,,,,
"Yapuncich, G",Cercopithecoidea,Cercopithecus mitis albogularis,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 165382,,,,9.23,5.87,5.54,4.51,5.89,5.12,18.06,30.02,31.51,29.33,25.25,,12.61,2.61,20.81,3.71,24.19,3.60,22.87,3.44,19.48,2.62,,13.04,17.35,17.17,12.91,,6.79,6.72,8.64,8.52,6.86,,9.91,8.94,,29.55,45.07,48.18,48.26,47.24,,15.29,3.74,21.58,2.68,26.18,3.5,24.9,3.12,20.47,2.53,,12.84,17.79,17.35,12.65,,8.71,8.66,10.64,10.05,8.13,,9.82,10.65,,,,,9.76,art,art,,,,,
"Yapuncich, G",Cercopithecoidea,Cercopithecus mitis stulmanni,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 121598,,,F,8.71,6.56,na,na,na,na,16.82,27.85,27.75,26.64,22.99,,10.24,2.66,18.61,3.49,22.17,4.28,20.64,3.94,16.25,2.86,,11.13,15.37,14.37,10.32,,5.07,6.55,7.24,7.34,6.01,,9.21,9.49,,27.15,40.49,43.17,42.97,41.43,,12.35,3.81,20.75,2.7,24.66,3.74,22.04,3.29,17.83,2.72,,11.22,15.67,15.05,10.46,,6.96,7.38,9.1,7.96,6.17,,9.86,9.69,,,,,9.93,8.79,5.1,,,,,
"Yapuncich, G",Cercopithecoidea,Chlorocebus aethiops,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 171476,,,,9.06,5.73,na,na,na,na,15.53,29.10,29.32,27.61,24.33,,8.91,2.15,16.26,2.57,19.57,3.06,19.83,2.81,15.55,2.21,,9.88,13.18,12.52,9.30,,4.90,5.26,6.97,7.36,5.05,,8.13,8.34,,24.94,41.63,42.71,42.6,40.09,,11.68,2.89,18.27,2.29,22.18,3.19,21.67,2.79,16.69,2.3,,10.72,13.66,13.09,9.41,,5.52,5.92,7.3,7.33,5.67,,8.58,8.34,,,,,8.79,8.34,4.78,,,,,
"Yapuncich, G",Cercopithecoidea,Chlorocebus aethiops,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 17714,,,M,9.71,7.31,5.07,4.50,5.95,5.39,16.19,29.58,30.87,29.23,26.17,,10.82,2.62,18.05,3.21,20.84,3.81,20.91,3.68,16.51,2.92,,10.25,13.37,13.74,11.24,,5.49,5.29,7.72,7.41,6.34,,7.56,10.71,,27.94,41.52,45,45.08,44.24,,12.73,3.17,19.69,2.81,23.57,3.64,22.47,3.58,18.05,2.82,,11.17,15.43,14.87,10.29,,7.03,6.82,8.1,7.77,6.86,,9.32,9,,,,,9.76,9.64,5.11,,,,,
"Yapuncich, G",Cercopithecoidea,Colobus guereza,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 127281,,regarding feet only: DPs uncertain,M,12.16,8.58,7.15,5.25,8.02,6.49,19.64,41.70,43.02,41.83,38.87,,na,na,28.92,4.59,33.97,5.35,33.65,5.29,28.67,4.37,,18.27,23.36,23.13,18.04,,na,8.09,10.75,10.08,9.54,,11.19,10.73,,34.28,54.91,62.09,62.5,60.49,,17.03,4.71,28.1,3.69,35.78,5.01,34.87,4.74,29.01,4.21,,14.32,24.24,23.51,17.81,,8.35,9.02,11.85,11.64,10.17,,12.32,13.7,,,,,12.9,12.27,7.45,,,,,
