Higher taxon,aagroup,genus ,mc1_geo,mc2_geo,mc3_geo,mc4_geo,mc5_geo,mPP1+mIP1_geo,mPP2+mIP2_geo,mPP3+mIP3_geo,mPP4+mIP4_geo,mPP5+mIP5_geo
Hominoidea,PAN,Pan,0.570372537,3.252767528,1.72109375,1.311793215,1.296232877,0.360305262,3.125461255,2.087890625,1.626817447,1.243150685
Hominoidea,GORILLA,Gorilla,#DIV/0!,#DIV/0!,#DIV/0!,1.46031746,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.603174603,#DIV/0!
Hominoidea,PONGO,Pongo,#DIV/0!,#DIV/0!,#DIV/0!,1.295081967,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.590163934,#DIV/0!
Hominoidea,HYLO,Hylobates,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Hominoidea,HYLO,Symphalangus,#DIV/0!,#DIV/0!,#DIV/0!,1.176470588,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.57254902,#DIV/0!
Cercopithecoidea,OWM,Allenopithecus,0.747824437,2.652118912,1.686070261,1.317217981,1.249147982,0.428606284,2.654648956,2.118872549,1.669889737,1.397309417
Cercopithecoidea,OWM,Cercocebus,0.641088046,2.832022873,1.753336299,1.43047619,1.415525114,0.400572656,2.582201573,1.944617438,1.624952381,1.386142545
Cercopithecoidea,OWM,Cercopithecus,0.680665053,2.532603939,1.503297818,1.207290768,1.108710641,0.445905862,2.782932166,2.00608828,1.618852459,1.355090784
Cercopithecoidea,OWM,Chlorocebus,0.614895514,2.974151039,1.754299038,1.406582529,1.239567992,0.382468112,2.759249873,1.951617604,1.658005444,1.291114384
Cercopithecoidea,OWM,Colobus,0.534421044,4.603215993,1.958599469,1.633756834,1.485410095,0.23942812,3.998956975,1.981630845,1.662825001,1.351577287
Cercopithecoidea,OWM,Erythrocebus,0.570027176,3.671108742,2.485958052,1.783486239,1.585014409,0.310863657,2.423773987,2.203697121,1.615465269,1.253864291
Cercopithecoidea,OWM,Macaca,0.678759863,2.707868112,1.582717323,1.280511091,1.235842635,0.41064965,2.697455879,1.934884343,1.58827133,1.328147425
Cercopithecoidea,OWM,Mandrillus,0.714899141,2.924756643,1.862212944,1.586298538,1.523935778,0.379568604,2.422783478,1.883785665,1.591613761,1.333186036
Cercopithecoidea,OWM,Miopithecus,0.678593192,2.417192429,1.540289256,1.195150115,1.08909707,0.463619744,2.65472435,2.011478421,1.615232871,1.269782739
Cercopithecoidea,OWM,Papio,0.696588682,2.68306846,2.021660265,1.735340002,1.748278429,0.37952513,2.252444988,1.862782757,1.581536203,1.390843104
Cercopithecoidea,OWM,Presbytis,0.555805623,3.786169535,1.511335934,1.229319048,1.189255319,0.294266584,4.185787126,1.97574354,1.631915113,1.356489362
Dermoptera,COLUGO,Cynocephalus,0.546828022,1.705842848,1.734023128,1.87950418,1.70212766,0.559606133,2.436534587,2.391357273,2.536754108,2.501595745
Platyrrhini,NWM,Alouatta,0.752795415,1.480318131,1.131191432,0.967868241,0.900165542,0.697659718,2.334642102,1.874586064,1.626786824,1.402776009
Platyrrhini,NWM,Aotus,0.756896371,1.523952096,1.158190647,0.981674785,0.802663148,0.700650304,2.394835329,1.861359571,1.6526328,1.326775432
Platyrrhini,NWM,Ateles,0.555220238,3.909990575,1.408446265,1.254414183,1.13769164,0.278430189,5.098020735,1.817444059,1.63971692,1.454367949
Platyrrhini,NWM,Callimico,0.734648076,1.648546621,1.270858047,1.094035337,0.978334136,0.632461083,2.296715742,1.848688546,1.661449069,1.286952335
Platyrrhini,NWM,Callithrix,0.764118143,1.529836319,1.333502281,1.190560253,1.006091076,0.681235513,2.079649439,1.810846427,1.627148565,1.432949821
Platyrrhini,OWM,Cebus,0.803751786,1.762412041,1.2685442,1.153123532,1.049912983,0.630142386,2.255570758,1.752080222,1.616385963,1.389836408
Platyrrhini,NWM,Chiropotes,0.804625104,1.58159788,1.255057998,1.075136453,0.955227325,0.629634045,2.231351761,1.933234421,1.70468006,1.341218555
Platyrrhini,NWM,Lagothrix,0.698584843,1.661914672,1.200625845,1.043696006,0.98240395,0.63549795,2.380263614,1.893819785,1.656587788,1.463974513
Platyrrhini,NWM,Leontopithecus,0.723294118,1.800636485,1.539081325,1.248798473,1.106919564,0.573,2.21702084,1.900903614,1.566133386,1.287671233
Platyrrhini,NWM,Pithecia,0.786534148,1.551203455,1.280860702,1.06539623,0.923442316,0.622079632,2.306233224,2.075217063,1.800270749,1.368689676
Platyrrhini,NWM,Saguinus,0.787168728,1.472222222,1.303082852,1.180199175,1.044855003,0.705711593,1.916016548,1.71411368,1.576439978,1.364998391
Platyrrhini,NWM,Saimiri,0.790284682,1.897820436,1.316122786,1.120638271,0.939418825,0.590499581,2.423689807,1.873163633,1.710492984,1.360290587
Scandentia,SCANDENTIA,Ptilocercus,0.691213543,1.523712835,1.334994463,1.159769513,0.882538018,0.706585231,2.156635243,1.802325581,1.695128339,1.571054012
Scandentia,SCANDENTIA,Tupaia,0.619857838,2.118131868,1.962184874,1.678869877,1.158104341,0.509318856,2.145604396,1.759243697,1.682053323,1.359916368
Strepsirrhini,LORISIFORM,Arctocebus,0.974855269,0.932822628,2.109794967,1.188621964,0.810225475,0.843292668,0.924337065,2.776747062,2.179250264,1.129351266
Strepsirrhini,LEMURID,Avahi,0.506181479,2.135211586,1.549089887,1.254665203,1.039772164,0.468541256,2.460058837,2.078712489,1.868386389,1.341901932
Strepsirrhini,LEMURID,Cheirogaleus,0.755764546,1.624755518,1.267626048,1.059384843,0.845465708,0.675882386,2.163313775,1.832177244,1.763572355,1.397912647
Strepsirrhini,LEMURID,Daubentonia,0.596873794,1.04505786,1.243685507,0.59090189,0.453193372,0.814007623,2.537642056,2.107192361,1.893784983,1.0968413
Strepsirrhini,LEMURID,Eulemur,0.653343757,1.731246594,1.347106138,1.109014193,0.988038278,0.626816847,2.152691167,1.941943021,1.762063675,1.356075825
Strepsirrhini,LORISIFORM,Euoticus,0.7976832,1.338405284,1.135529764,0.884014196,0.73344792,0.776971297,1.9170795,1.987645077,1.790530846,1.373599175
Strepsirrhini,LORISIFORM,Galago,0.793732685,1.472989196,1.280515248,0.921315396,0.719182671,0.706451066,2.024109644,2.183595872,1.862361734,1.34496427
Strepsirrhini,LORISIFORM,Galagoides,0.839964802,1.276702509,1.298140044,0.899673281,0.681035699,0.800558574,1.695459976,2.289606127,1.963582756,1.238464795
Strepsirrhini,LEMURID,Hapalemur,0.664147285,1.64386357,1.424141257,1.070236882,0.933968795,0.615797794,2.058303372,2.141850286,1.778751494,1.206933277
Strepsirrhini,LEMURID,Indri,0.676231938,1.719985344,1.459429001,1.223938025,1.093724783,0.582428735,1.974392379,1.948503631,1.776862492,1.421868325
Strepsirrhini,LEMURID,Lemur,0.623761917,1.728360441,1.388386616,1.149313318,1.009151853,0.620860158,2.147067988,1.951583415,1.772357074,1.371309129
Strepsirrhini,NWM,Lepilemur,0.649581617,1.60858743,1.292255552,1.048129271,0.850330306,0.616827452,2.261771417,2.020839342,1.848930636,1.267857143
Strepsirrhini,LORISIFORM,Loris,0.936971831,1.25317043,1.249737395,0.902868867,0.741389099,0.758920188,1.764924219,2.135695187,1.722261047,1.273750946
Strepsirrhini,LEMURID,Microcebus,0.711483419,1.57178087,1.297242498,1.035710145,0.794002608,0.700379984,2.200810287,2.025006759,1.876954589,1.402162103
Strepsirrhini,LEMURID,Mirza,0.741546494,1.571428571,1.257067719,0.978175713,0.745202559,0.709224267,2.174408414,1.953977646,1.756575266,1.359808102
Strepsirrhini,LORISIFORM,Nycticebus,0.808976354,1.263289938,1.327840976,0.904336054,0.759093305,0.740398614,1.663479794,2.21584379,1.766706322,1.335906318
Strepsirrhini,LORISIFORM,Nycticebus,0.839980172,1.15537415,1.194437785,0.83952792,0.736486486,0.828038394,1.703673469,2.172620475,1.772767307,1.338497034
Strepsirrhini,LORISIFORM,Otolemur,0.805817856,1.344392651,1.248723305,0.925531439,0.756932058,0.76021929,1.84590074,2.103354225,1.793600358,1.328563321
Strepsirrhini,LEMURID,Perodicticus,0.796689844,1.022663956,1.809765609,0.931296572,0.746427499,0.812910097,1.076970861,2.927008635,1.830799801,1.322533579
Strepsirrhini,LEMURID,Propithecus,0.670055125,1.683251351,1.482712005,1.193539095,1.02713335,0.570484663,2.010529105,2.060624968,1.877037037,1.415309386
Strepsirrhini,LEMURID,Propithecus,0.671105221,1.579595541,1.482941597,1.186721435,1.007976531,0.603744247,1.956529254,2.064049798,1.834702534,1.387043592
Strepsirrhini,LEMURID,Varecia,0.65632434,1.737731382,1.25501093,1.074986751,0.96085953,0.629756894,2.330391735,1.81449372,1.668819555,1.403432918
Tarsiiforms,LORISIFORM,Tarsius,0.805795486,1.598421407,0.970304059,0.700339539,0.576819121,0.723669546,2.953680404,2.014042478,1.539023534,1.199756971
Tarsiiforms,LORISIFORM,Tarsius,0.849458563,1.591564148,1.013985026,0.751157479,0.609963467,0.718688425,2.741300527,1.925978246,1.566269523,1.155496513
Tarsiiforms,LORISIFORM,Tarsius,0.847479136,1.498721982,1.019242668,0.758769027,0.621830209,0.759319807,2.653558789,1.911087737,1.545444518,1.217689575
